ID_Expediente,CURP,RFC,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo_Biologico,Estado,Latitud,Longitud,Afiliacion_Salud,Numero_Seguridad_Social,Tipo_Servicio_Ingreso,Antecedentes_Familiares_Diabetes,Antecedentes_Familiares_Hipertension,Antecedentes_Familiares_Cancer,Antecedentes_Personales_Tabaquismo,Antecedentes_Personales_Alcoholismo,Alergias_Declaradas,Clasificacion_Triage,Presion_Sistolica_mmHg,Presion_Diastolica_mmHg,Frecuencia_Cardiaca_lpm,Frecuencia_Respiratoria_rpm,Temperatura_C,Saturacion_Oxigeno_SpO2,Estatura_cm,Peso_kg,IMC,Estado_Nutricional,CIE10_Diagnostico,Diagnostico_Principal,Sintoma_Principal,Tratamiento_Farmacologico,Medico_Tratante_Cedula,Fecha_Hora_Apertura_Expediente
EXP-2026-00011,RECL710606HPLYRS00,RECL710606P67,Luis Jesús,Reyes,Cruz,1971-06-06,55,MASCULINO,Puebla,18.694762,-97.100253,ISSSTEP,17-60-78-3914,Urgencias,Sí,No,No,Sí,No,Sulfonamidas,Amarillo / Valorable,119,77,99,19,39.3,98,164.7,75.0,27.6,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,7751174,2026-04-02 03:48:04
EXP-2026-00012,VUSG870603MPLÁÁD07,VUSG870603Z55,Guadalupe Leticia,Vázquez,Sánchez,1987-06-03,39,FEMENINO,Puebla,19.940104,-97.645895,Particular,82-81-92-1485,Pediatría,No,Sí,No,No,Sí,Ninguna,Naranja / Urgencia,173,100,76,15,36.4,98,163.0,77.5,29.2,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,1758775,2026-04-28 17:31:04
EXP-2026-00013,MORR340623HPLRYC03,MORR340623N96,Ricardo Pedro,Morales,Reyes,1934-06-23,92,MASCULINO,Puebla,18.247437,-97.650906,ISSSTEP,44-81-75-7840,Medicina Interna,No,Sí,Sí,No,No,Penicilina,Verde / No Urgente,122,77,72,14,36.3,98,167.7,74.4,26.5,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,3905132,2026-04-22 00:08:04
EXP-2026-00014,TOGF881021HPLRRR05,TOGF881021385,Fernando,Torres,García,1988-10-21,37,MASCULINO,Puebla,19.089721,-98.240855,ISSSTEP,84-53-77-5476,Consulta General,Sí,Sí,No,No,No,Medio de Contraste Yodado,Verde / No Urgente,118,81,73,16,36.2,97,160.4,86.6,33.7,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,9831979,2026-04-15 23:09:04
EXP-2026-00015,GERJ711212HPLÓYR00,GERJ711212011,Jorge Miguel,Gómez,Reyes,1971-12-12,54,MASCULINO,Puebla,19.057557,-97.077943,IMSS-Bienestar,67-63-97-2087,Pediatría,Sí,No,No,No,No,Ninguna,Naranja / Urgencia,121,82,100,25,36.2,89,165.7,72.5,26.4,Sobrepeso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,4555660,2026-06-29 16:52:04
EXP-2026-00016,CAGG910311MPLSTB04,CAGG910311736,Gabriela Patricia,Castro,Gutiérrez,1991-03-11,35,FEMENINO,Puebla,20.290109,-96.996488,ISSSTE,14-31-75-4256,Medicina Interna,No,No,No,No,No,Penicilina,Amarillo / Valorable,116,81,92,18,38.0,98,153.6,52.3,22.2,Normal,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,3809556,2026-07-03 21:38:04
EXP-2026-00017,GECE750618MPLÓRL08,GECE750618W20,Elena Leticia,Gómez,Cruz,1975-06-18,51,FEMENINO,Puebla,18.23485,-98.156772,ISSSTE,58-16-23-3610,Consulta General,No,Sí,No,No,Sí,Ninguna,Amarillo / Valorable,117,77,100,19,39.2,96,155.2,77.5,32.2,Obesidad,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,4525328,2026-07-10 07:11:04
EXP-2026-00018,JIRM900622MPLMDR03,JIRM900622M75,María,Jiménez,Rodríguez,1990-06-22,36,FEMENINO,Puebla,18.598337,-98.281553,IMSS-Bienestar,94-42-81-5521,Medicina Interna,No,No,Sí,No,No,Ninguna,Amarillo / Valorable,120,80,107,22,37.7,98,156.7,77.2,31.4,Obesidad,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,9225898,2026-05-14 16:10:04
EXP-2026-00019,LERT941010MPLÓMR05,LERT941010W87,Teresa Juana,López,Ramírez,1994-10-10,31,FEMENINO,Puebla,19.502109,-96.80885,Particular,61-92-94-7709,Urgencias,Sí,No,No,No,No,Penicilina,Verde / No Urgente,118,79,70,18,36.6,97,151.8,75.5,32.8,Obesidad,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,5523060,2026-01-26 16:22:04
EXP-2026-00020,GEJA980911HPLÓML00,GEJA980911H51,Alejandro,Gómez,Jiménez,1998-09-11,27,MASCULINO,Puebla,19.414936,-97.710815,IMSS-Bienestar,89-19-48-5324,Consulta General,No,Sí,No,No,No,Medio de Contraste Yodado,Verde / No Urgente,122,82,78,18,36.3,99,170.5,76.4,26.3,Sobrepeso,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,1999430,2026-03-14 04:21:04
EXP-2026-00021,CALM851017HPLSÓN04,CALM851017A45,Manuel Javier,Castro,López,1985-10-17,40,MASCULINO,Puebla,18.728052,-98.084707,ISSSTEP,50-54-95-8641,Medicina Interna,No,Sí,No,No,Sí,Ninguna,Amarillo / Valorable,148,97,74,14,36.3,96,168.2,60.5,21.4,Normal,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,2594258,2026-06-25 13:15:04
EXP-2026-00022,GUTJ810402HPLTRR08,GUTJ810402Q89,Jorge,Gutiérrez,Torres,1981-04-02,45,MASCULINO,Puebla,20.360848,-97.82682,IMSS-Bienestar,77-32-40-2666,Urgencias,Sí,Sí,No,No,No,Ninguna,Amarillo / Valorable,122,81,107,18,38.2,96,164.8,68.8,25.3,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,8039454,2026-04-28 19:08:04
EXP-2026-00023,GUDR880718HPLTÍC09,GUDR880718774,Ricardo Jesús,Gutiérrez,Díaz,1988-07-18,38,MASCULINO,Puebla,18.005209,-97.753259,Particular,42-72-92-8353,Medicina Interna,No,Sí,No,Sí,No,Sulfonamidas,Verde / No Urgente,118,80,70,14,36.5,97,169.2,69.6,24.3,Normal,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,2717947,2026-03-07 04:58:04
EXP-2026-00024,HELL540518MPLRÓS07,HELL540518639,Luisa,Hernández,López,1954-05-18,72,FEMENINO,Puebla,18.816383,-97.416499,IMSS,56-90-55-6839,Consulta General,Sí,Sí,No,No,Sí,Ninguna,Naranja / Urgencia,175,108,68,16,36.7,99,150.6,63.1,27.8,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,9304786,2026-03-19 23:04:04
EXP-2026-00025,CARL661114HPLSDS07,CARL661114967,Luis Javier,Castro,Rodríguez,1966-11-14,59,MASCULINO,Puebla,18.385742,-97.447174,Particular,79-25-40-1395,Medicina Interna,Sí,No,No,No,No,Medio de Contraste Yodado,Naranja / Urgencia,116,76,103,23,36.5,90,165.7,101.8,37.1,Obesidad,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,5749903,2026-06-07 03:12:04
EXP-2026-00026,PECC940105HPLÉSR00,PECC940105850,Carlos Francisco,Pérez,Castro,1994-01-05,32,MASCULINO,Puebla,18.789075,-97.064775,ISSSTE,31-57-25-8123,Pediatría,No,No,No,No,No,AINES (Aspirina/Ibuprofeno),Verde / No Urgente,116,81,73,17,36.3,99,157.7,77.2,31.0,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,6795125,2026-06-26 05:59:04
EXP-2026-00027,SEPG780218MPLÁÉD05,SEPG780218B56,Guadalupe,Sánchez,Pérez,1978-02-18,48,FEMENINO,Puebla,19.79247,-97.821031,IMSS,10-80-89-6314,Medicina Interna,Sí,Sí,No,No,No,Ninguna,Verde / No Urgente,117,77,74,16,36.3,99,156.9,76.3,31.0,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,7547523,2026-03-29 21:50:04
EXP-2026-00028,LEJJ420920HPLÓMV00,LEJJ420920M47,Javier Jesús,López,Jiménez,1942-09-20,83,MASCULINO,Puebla,18.801915,-96.883031,ISSSTEP,45-99-36-3392,Urgencias,No,No,No,No,No,Penicilina,Naranja / Urgencia,118,77,110,24,36.2,90,164.6,70.2,25.9,Sobrepeso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,8743473,2026-04-19 14:56:04
EXP-2026-00029,SEPT850428MPLÁÉR07,SEPT850428L71,Teresa Elena,Sánchez,Pérez,1985-04-28,41,FEMENINO,Puebla,18.321777,-97.608859,IMSS-Bienestar,33-63-57-7763,Consulta General,Sí,Sí,No,No,No,Penicilina,Rojo / Emergencia,118,77,99,22,36.5,88,161.4,58.7,22.5,Normal,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,2949590,2026-03-11 12:07:04
EXP-2026-00030,ROGP811023HPLDÓD08,ROGP811023072,Pedro,Rodríguez,Gómez,1981-10-23,44,MASCULINO,Puebla,20.293923,-97.178347,IMSS,81-33-86-8769,Urgencias,Sí,Sí,No,No,Sí,AINES (Aspirina/Ibuprofeno),Verde / No Urgente,122,79,73,15,36.3,99,166.0,75.5,27.4,Sobrepeso,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,6270299,2026-02-24 02:54:04
EXP-2026-00031,VUFF750226HPLÁLR04,VUFF750226D97,Fernando,Vázquez,Flores,1975-02-26,51,MASCULINO,Puebla,19.034809,-97.070093,IMSS,99-32-94-9368,Medicina Interna,No,No,Sí,No,No,Penicilina,Amarillo / Valorable,119,78,105,20,38.7,96,163.4,53.1,19.9,Normal,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,7787485,2026-03-24 08:42:04
EXP-2026-00032,GURJ980729HPLTMV07,GURJ980729579,Javier Javier,Gutiérrez,Ramírez,1998-07-29,27,MASCULINO,Puebla,20.225221,-97.187737,ISSSTEP,40-35-21-1349,Urgencias,No,Sí,No,No,No,Sulfonamidas,Naranja / Urgencia,171,106,74,15,36.5,98,172.1,72.9,24.6,Normal,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,7435218,2026-02-26 14:45:04
EXP-2026-00033,ROGV030228MPLDNR02,ROGV030228Y50,Verónica Rosa,Rodríguez,González,2003-02-28,23,FEMENINO,Puebla,19.969408,-97.476083,ISSSTEP,34-64-45-6832,Urgencias,No,Sí,Sí,No,No,Penicilina,Amarillo / Valorable,122,79,99,21,37.7,96,159.1,58.9,23.3,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,7277431,2026-05-21 16:21:04
EXP-2026-00034,CUHF971210HPLRRR00,CUHF971210P73,Francisco Jorge,Cruz,Hernández,1997-12-10,28,MASCULINO,Puebla,18.514148,-96.849726,IMSS,64-94-99-4246,Pediatría,Sí,Sí,Sí,Sí,No,Ninguna,Amarillo / Valorable,122,80,104,22,39.3,98,166.6,79.6,28.7,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,1754687,2026-07-11 14:39:04
EXP-2026-00035,TOSR650702HPLRÁC06,TOSR650702D52,Ricardo Carlos,Torres,Sánchez,1965-07-02,61,MASCULINO,Puebla,19.687358,-98.259921,Particular,66-37-24-6648,Urgencias,Sí,No,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,173,108,74,15,36.3,99,168.9,85.6,30.0,Obesidad,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,4307356,2026-05-30 08:06:04
EXP-2026-00036,JIRR291224HPLMDC05,JIRR291224Z70,Ricardo Javier,Jiménez,Rodríguez,1929-12-24,96,MASCULINO,Puebla,20.595038,-97.248442,IMSS,24-34-18-1541,Medicina Interna,No,Sí,No,Sí,Sí,Ninguna,Verde / No Urgente,122,81,70,15,36.6,96,171.3,78.9,26.9,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,2582865,2026-03-20 00:20:04
EXP-2026-00037,JIRJ770321HPLMDS08,JIRJ770321461,José Juan,Jiménez,Rodríguez,1977-03-21,49,MASCULINO,Puebla,20.407602,-98.229423,IMSS-Bienestar,26-77-30-8981,Consulta General,No,Sí,No,No,Sí,Ninguna,Verde / No Urgente,116,77,72,18,36.3,98,166.9,76.8,27.6,Sobrepeso,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,7241164,2026-03-13 11:52:04
EXP-2026-00038,PERG180302MPLÉYD03,PERG180302850,Guadalupe,Pérez,Reyes,2018-03-02,8,FEMENINO,Puebla,18.826264,-97.093224,IMSS-Bienestar,19-96-35-1651,Pediatría,No,Sí,Sí,No,No,Medio de Contraste Yodado,Rojo / Emergencia,121,77,105,27,36.4,86,123.5,18.1,11.9,Desnutrición / Bajo Peso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,4786113,2026-02-14 02:24:04
EXP-2026-00039,FOPT910919MPLLÉR07,FOPT910919767,Teresa Leticia,Flores,Pérez,1991-09-19,34,FEMENINO,Puebla,19.97239,-97.323923,Particular,22-24-70-1966,Consulta General,No,Sí,No,No,No,Ninguna,Verde / No Urgente,121,78,78,18,36.3,96,151.1,80.2,35.1,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,9814466,2026-07-16 19:34:04
EXP-2026-00040,RAJA300417MPLMMN06,RAJA300417P68,Ana,Ramírez,Jiménez,1930-04-17,96,FEMENINO,Puebla,20.13352,-97.154524,IMSS-Bienestar,10-97-30-8891,Consulta General,Sí,Sí,Sí,No,No,Ninguna,Naranja / Urgencia,117,76,102,27,36.4,90,163.1,45.5,17.1,Desnutrición / Bajo Peso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,8294401,2026-04-25 23:21:04
EXP-2026-00041,CARJ480504HPLSDV08,CARJ480504052,Javier,Castro,Rodríguez,1948-05-04,78,MASCULINO,Puebla,19.508849,-98.172438,IMSS-Bienestar,69-13-54-2415,Medicina Interna,Sí,No,No,No,Sí,Medio de Contraste Yodado,Amarillo / Valorable,154,108,73,18,36.6,98,169.8,79.4,27.5,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,1114331,2026-01-20 17:23:04
EXP-2026-00042,FOGG680623MPLLNB02,FOGG680623P91,Gabriela Verónica,Flores,González,1968-06-23,58,FEMENINO,Puebla,20.413414,-97.277553,IMSS,61-99-31-3097,Pediatría,No,No,No,No,No,Ninguna,Amarillo / Valorable,120,79,99,19,38.6,99,152.1,59.1,25.5,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,5082798,2026-05-09 23:24:04
EXP-2026-00043,TOGT510930MPLRÓR05,TOGT510930260,Teresa,Torres,Gómez,1951-09-30,74,FEMENINO,Puebla,19.751531,-98.194314,IMSS-Bienestar,63-93-48-6573,Pediatría,Sí,Sí,Sí,No,Sí,Ninguna,Amarillo / Valorable,119,77,102,22,39.1,99,150.3,67.4,29.8,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,5370454,2026-02-19 16:27:04
EXP-2026-00044,MOHJ081121HPLRRR02,MOHJ081121948,Jorge,Morales,Hernández,2008-11-21,17,MASCULINO,Puebla,18.396343,-96.979418,IMSS-Bienestar,81-44-50-2419,Medicina Interna,No,No,Sí,No,No,Ninguna,Naranja / Urgencia,175,105,68,15,36.6,96,170.2,81.0,28.0,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,7719516,2026-07-08 10:45:04
EXP-2026-00045,FOVV561104MPLLÁR00,FOVV561104996,Verónica Luisa,Flores,Vázquez,1956-11-04,69,FEMENINO,Puebla,18.786682,-98.003974,IMSS-Bienestar,23-16-31-2045,Pediatría,Sí,No,No,No,Sí,Ninguna,Verde / No Urgente,121,81,68,18,36.3,97,153.0,69.8,29.8,Sobrepeso,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,9991494,2026-05-12 05:58:04
EXP-2026-00046,MORJ430203HPLRYR01,MORJ430203L64,Jorge Javier,Morales,Reyes,1943-02-03,83,MASCULINO,Puebla,19.696653,-98.357021,IMSS,87-27-11-7154,Urgencias,Sí,No,No,No,No,Ninguna,Verde / No Urgente,121,79,76,16,36.6,98,169.0,89.9,31.5,Obesidad,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,4775411,2026-03-08 07:07:04
EXP-2026-00047,PEHL450908MPLÉRT01,PEHL450908067,Leticia María,Pérez,Hernández,1945-09-08,80,FEMENINO,Puebla,19.612492,-96.881991,ISSSTEP,32-26-62-9739,Consulta General,No,Sí,Sí,No,No,AINES (Aspirina/Ibuprofeno),Amarillo / Valorable,117,78,92,20,39.1,96,161.0,70.5,27.2,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,4049646,2026-02-08 19:17:04
EXP-2026-00048,HESJ040421HPLRÁN03,HESJ040421L72,Juan,Hernández,Sánchez,2004-04-21,22,MASCULINO,Puebla,20.253725,-98.296879,Particular,37-65-69-3727,Pediatría,Sí,No,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,120,82,105,28,36.6,90,155.8,74.0,30.5,Obesidad,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,8923604,2026-02-23 01:25:04
